"fishery_unit_id","country","region","trip","distance","commitment","labour","utilization","economy","disposal","ownership","size","motorization","mechanization","gear","refrigeration","total_char"
"Africa_fishery_unit218","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit219","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit220","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit221","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit222","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit223","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit224","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit225","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit226","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit227","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit228","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit229","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit230","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit231","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit232","Country21","Africa",1,1,3,0,0,1,1,0,1,0,0,1,0,"9"
"Africa_fishery_unit233","Country21","Africa",0,0,3,1,1,0,2,0,0,0,0,0,0,"7"
"Africa_fishery_unit234","Country21","Africa",0,0,2,0,1,1,2,0,1,0,0,1,0,"8"
"Africa_fishery_unit235","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit236","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit237","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit238","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit239","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit240","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit241","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit242","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit243","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit244","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit245","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit246","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit247","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit248","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit249","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit250","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit251","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit252","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit253","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit254","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit255","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit256","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit257","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit258","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit259","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit260","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit261","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit262","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit263","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit264","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit265","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit266","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit267","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
